priority,article_id,article_type,brand,category_slug,subject,en_slug,sv_slug,flags
P0-CORE-WM,320,fault,Bosch,washing-machines,Clothes still wet after spin cycle,clothes-still-wet,kläder-fortfarande-våta,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,321,fault,Bosch,washing-machines,Washing machine has a bad smell,bad-smell,dalig-lukt,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,322,fault,Bosch,washing-machines,Door seal (gasket) is damaged or mouldy,door-seal-damaged,dorrtätning-skadad,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,326,fault,Bosch,washing-machines,Washing machine producing too much foam,too-much-foam,for-mycket-skum,meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,327,fault,Bosch,washing-machines,Detergent not dispensing from the drawer,detergent-not-dispensing,tvättmedel-dispenseras-inte,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,245,error_code,Electrolux,washing-machines,E10,error-code-e10,felkod-e10,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,246,error_code,Electrolux,washing-machines,E11,error-code-e11,felkod-e11,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,247,error_code,Electrolux,washing-machines,E13,error-code-e13,felkod-e13,meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;spare_parts_marker_in_prevention
P0-CORE-WM,249,error_code,Electrolux,washing-machines,E21,error-code-e21,felkod-e21,meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;spare_parts_marker_in_prevention
P0-CORE-WM,266,error_code,Electrolux,washing-machines,E57,error-code-e57,felkod-e57,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,277,error_code,Electrolux,washing-machines,EF1,error-code-ef1,felkod-ef1,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,351,fault,Electrolux,washing-machines,Washing machine won't start,wont-start,startar-inte,generic_calibration_sequence;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,352,fault,Electrolux,washing-machines,Washing machine is leaking water,leaking-water,vattenläckage,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,358,fault,Electrolux,washing-machines,Clothes still wet after spin cycle,clothes-still-wet,kläder-fortfarande-våta,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,359,fault,Electrolux,washing-machines,Washing machine has a bad smell,bad-smell,dalig-lukt,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,364,fault,Electrolux,washing-machines,Washing machine producing too much foam,too-much-foam,för-mycket-skum,meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;spare_parts_marker_in_prevention
P0-CORE-WM,365,fault,Electrolux,washing-machines,Detergent not dispensing from the drawer,detergent-not-dispensing,tvättmedel-dispenseras-inte,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,88,error_code,LG,washing-machines,CL,lg-error-code-cl,lg-felkod-cl,generic_calibration_sequence;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,94,error_code,LG,washing-machines,FE,lg-error-code-fe,lg-felkod-fe,meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,95,error_code,LG,washing-machines,IE,lg-error-code-ie,lg-felkod-ie,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,99,error_code,LG,washing-machines,PF,lg-error-code-pf,lg-felkod-pf,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,101,error_code,LG,washing-machines,tCL,lg-error-code-tcl,lg-felkod-tcl,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,150,fault,LG,washing-machines,Washing machine won't start,lg-wont-start,lg-startar-inte,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,151,fault,LG,washing-machines,Washing machine is leaking water,lg-leaking-water,lg-vattenläcka,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,153,fault,LG,washing-machines,Washing machine door won't open,lg-door-wont-open,lg-dorren-oppnas-inte,generic_calibration_sequence;meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;spare_parts_marker_in_prevention
P0-CORE-WM,158,fault,LG,washing-machines,Clothes still wet after spin cycle,lg-clothes-still-wet,lg-kläder-fortfarande-våta,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,159,fault,LG,washing-machines,Washing machine has a bad smell,lg-bad-smell,lg-dalig-lukt,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,160,fault,LG,washing-machines,Child lock is active or stuck,lg-child-lock-stuck,lg-barnlas-fastnat,generic_calibration_sequence;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,162,fault,LG,washing-machines,Washing machine won't complete a cycle,lg-wont-complete-cycle,lg-slutfor-inte-programmet,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,207,error_code,Siemens,washing-machines,CL,error-code-cl,felkod-cl,generic_calibration_sequence;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,209,error_code,Siemens,washing-machines,E17,error-code-e17,felkod-e17,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,213,error_code,Siemens,washing-machines,E22,error-code-e22,felkod-e22,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,219,error_code,Siemens,washing-machines,E29,error-code-e29,felkod-e29,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,224,error_code,Siemens,washing-machines,E38,error-code-e38,felkod-e38,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,240,error_code,Siemens,washing-machines,E91,error-code-e91,felkod-e91,meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;spare_parts_marker_in_prevention
P0-CORE-WM,242,error_code,Siemens,washing-machines,END,error-code-end,felkod-end,meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;spare_parts_marker_in_prevention
P0-CORE-WM,332,fault,Siemens,washing-machines,Washing machine won't start,wont-start,startar-inte,generic_calibration_sequence;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-CORE-WM,333,fault,Siemens,washing-machines,Washing machine is leaking water,leaking-water,lackande-vatten,parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-CORE-WM,335,fault,Siemens,washing-machines,Washing machine door won't open,door-wont-open,dorren-gar-inte-att-oppna,generic_calibration_sequence;meta_at_column_limit;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
